"filename", "language", "JSON", "Markdown", "YAML", "JavaScript", "Log", "Batch", "JSON with Comments", "CSV", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\main.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 4, 10, 60
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\mission.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3020, 136, 107, 3263
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\package-lock.json", "JSON", 4209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4210
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\package.json", "JSON", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\renderer.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\splash.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 4, 32
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\-1747640909207.log", "Log", 0, 0, 0, 0, 1620, 0, 0, 0, 0, 0, 0, 4, 1624
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\Atmos (2).csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 1264, 0, 0, 0, 1, 1265
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\Garuda_orginal - Copy.json", "JSON", 1805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 1815
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\Garuda_orginal.jsonc", "JSON with Comments", 0, 0, 0, 0, 0, 0, 3475, 0, 0, 0, 8, 0, 3483
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\aero data.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\aero_s1.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\design_var.json", "JSON", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 116
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\details_to_constraints.json", "JSON", 747, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 747
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\dummy_input (2).jsonc", "JSON with Comments", 0, 0, 0, 0, 0, 0, 695, 0, 0, 0, 1, 0, 696
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\dummy_input.jsonc", "JSON with Comments", 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 1, 88, 306
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\error.json", "JSON", 986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 986
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\intial_control.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\mission_data_2025-04-21T23-51-36-706Z.json", "JSON", 744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\mission_data_2025-05-16T08-27-58-272Z.json", "JSON", 760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 760
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\optimiz.json", "JSON", 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\profile1.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\profile2.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\profile_normal.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\profile_step.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\realdata.json", "JSON", 670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 671
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\test2.json", "JSON", 681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 681
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\test_suite.json", "JSON", 376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 376
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\testai_corrected.json", "JSON", 731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 742
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\testcase.json", "JSON", 863, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 93, 958
